bank,date,message,shares,pos_reaction,neg_reaction
ICBC,2021-10-04,"【「工銀智投資」APP全新證券客戶優惠 - 買入證券$0佣金及成功透過指定線上渠道開戶享港幣100元現金回贈！】  想喺投資路上更進一步，就要有最佳拍檔支援！「工銀智投資」APP方便易用，助你隨時隨地、更快更準咁進行投資交易！依家全新證券客戶仲可享有$0佣金優惠及成功透過指定線上渠道開戶享港幣100元現金回贈！立即下載，同時睇吓有咩優惠啦！  「工銀智投資」APP推廣 - 新客户尊享  優惠一  推廣期： 2021年7月1日起至2021年12月31日（包括首尾兩天）   推廣期內，全新證券客戶透過「工銀智投資」APP 可享首三個月買入證券$0佣金(a)及 後有機會繼續可享買入證券$0佣金(b)。   優惠二及三  推廣期: 2021年10月1日至 2021年12月31日（包括首尾兩天）  推廣期内透過個人網上銀行或個人手機銀行成功開立全新證券賬戶/基金投資、債券及結構性產品投資賬戶/綜合投資賬戶，可享港幣100元現金回贈(c)。  推廣期內透過「工銀智投資」APP買入證券達指定金額可免費享用首月「工銀智投資」APP港股串流報價服務。服務費用先收後退(d)。  優惠四  推廣期： 2021年7月1日起至2021年12月31日（包括首尾兩天）   推廣期內，新證券保證金賬戶迎新利率優惠尊享特惠年利率P-2.3%(e)。   =====================================================  註： (a) 推廣期內，合資格新開證券客戶於開戶後首三個月透過「工銀智投資」APP買入證券可享$0佣金優惠。交易金額及交易次數均不設限制。佣金豁免方式為先收後退。   (b) 推廣期內成功開立全新證券賬戶客戶須於開戶日起計第三個月起，每月透過「工銀智投資」APP成功完成一筆合資格交易，翌月便可繼續透過「工銀智投資」APP享有買入證券$0佣金優惠，其後每月如此類推。佣金豁免方式為先收後退。如合資格新客戶於開戶後第三個月起任何一個月未完成最少一筆合資格交易，此優惠將於翌月起終止及失效。   (c) 客戶於推廣期內透過個人網上銀行或個人手機銀行成功開立全新證券賬戶/基金投資、債券及結構性產品投資賬戶/綜合投資賬戶，可享港幣100元現金回贈。  (d) 新證券客戶於推廣期內透過「工銀智投資」APP買入證券金額累計達港幣20,000元或以上可免費享用首月「工銀智投資」APP港股串流報價服務。服務費用先收後退。  (e) 新證券保證金賬戶客戶於推廣期內開戶後首三個月，尊享特惠年利率P-2.3%優惠。   「工銀智投資」APP推廣優惠詳情：https://bit.ly/3hwmRRq  仲未成為工銀亞洲客戶？由2021年7月1日起至2021年12月31日，透過工銀亞洲手機銀行「e 開戶」成功開立綜合賬戶，可享三個月港元定期存款3%年利率優惠^及HK$200現金回贈*，於推廣期內透過手機銀行成功開立綜合投資賬戶及於指定期間完成買入證券交易或基金認購交易累計金額達HK$50,000或以上更可享HK$500佣金回贈**！「e 開戶」新客優惠詳情請瀏覽：https://bit.ly/3imJFFj  註： ^您需於成功開立綜合賬戶後首三個月內及不晚於2021年12月31日透過工銀亞洲手機銀行「e定存」功能開立三個月港元定期存款，方可享3%港元定期存款年利率優惠。存款金額最低為HK$1,000及累計存款金額最高為HK$50,000。  *您必須成功存入支票或透過快速支付系統「轉數快」FPS 由香港其他銀行（電子錢包除外）同名賬戶向新開立的綜合賬戶轉入至少HK$1以啟動賬戶，方可獲得HK$200現金回贈。  **您需於推廣期內透過手機銀行成功開立綜合投資賬戶及於指定期間透過本行「工銀智投資」APP完成香港交易所上巿以港元計價的證券買入交易 (包括港股、認股證、牛熊證、交易所買賣基金及槓桿及反向產品)，累計交易金額達HK$50,000 或以上；或透過本行手機銀行完成累計交易金額達HK$50,000或以上之基金認購交易，方可享HK$500佣金回贈。  點擊以下連結，即可下載「工銀智投資」APP。 App Store: https://apple.co/34wB7Ex  Google Play: https://bit.ly/2Tu9jdC 華為應用商場：https://bit.ly/3hgJpqE 直接下載：https://bit.ly/3At59ai   點擊以下連結，即可下載工銀亞洲手機銀行應用程式開立綜合賬戶及綜合投資賬戶。 App Store: https://apple.co/2VeeQcC  Google Play: https://bit.ly/3fWiGNg  華為應用市場: https://bit.ly/3cLAKry  直接下載: https://bit.ly/2X8X0F3   「工銀亞洲」乃中國工商銀行（亞洲）有限公司之簡稱。  借定唔借？還得到先好借。 提提您: 數碼KEY睇緊啲,揿LINK前要三思! 切勿貪心搵快錢，戶口借人洗黑錢! 投資涉及風險，優惠受條款及細則約束。  #ICBCAsia #工銀亞洲 #跨境金融首選銀行 #線上理財 #手機理財 #投資 #0佣金 #證券優惠 #財富管理 #新客優惠 #手機開戶 #e開戶 #遙距開戶 #定期存款優惠 #現金回贈 #高息 #利率優惠 #數碼KEY睇緊啲 #撳LINK前要三思",4,1,0
ICBC,2021-09-30,【理財Easy Go】投資精讀班第一課．馬上去片！   辛苦工作儲到筆現金，想買樓但又未夠首期，咁可以做啲乜？   主角叫Lucas，佢今年30歲。大學畢業之後開始創業，到而家生意逐漸上軌道，開始諗成家立室，打算幾年內買樓結婚。以往埋頭工作，冇時間理財，而家終於儲到筆可觀資金。除咗放係儲蓄戶口之外，Lucas仲可以有咩選擇呢? 仲有無其他合適嘅投資理財產品可以為財富增值，令佢快啲儲到首期呢？不如一齊聽下投資專家Jonathan點解答Lucas嘅問題！   風險披露：投資涉及風險，投資產品價格有時可能會非常波動，投資產品價格可升可跌，甚至變成毫無價值。買賣投資產品未必一定能夠賺取利潤，反而可能會招致損失。任何投資產品的過去表現並不一定可作為將來表現的指引。   重要聲明：以上風險披露聲明不能披露所有涉及的風險，如欲索取完整之風險披露聲明，可向本行各分行查詢。   提示:  借定唔借?還得到先好借!  數碼KEY睇緊啲，撳LINK前要三思！  切勿貪心搵快錢，戶口借人洗黑錢！   「工銀亞洲」或「本行」乃中國工商銀行(亞洲)有限公司之簡稱。   #ICBCAsia #工銀亞洲 #投資 #槓桿投資 #基金 #保險 #買樓 #置業 #理財教室 #理財EasyGo,6,23,0
ICBC,2021-09-24,"【譚仔國際 (2217)IPO新股認購】  工銀亞洲提供的新股認購與孖展服務，讓你盡享三大優勢：  •  最高可享10倍孖展認購及特低利率 本行證券賬戶持有人(現金或保證金賬戶)均可申請孖展融資認購服務  •  手續費低 認購手續費可低至$0  •  多種渠道認購 可透過「工銀智投資」APP、個人網上銀行、專人接聽買賣熱線，以及親臨分行認購新股  新股認購服務詳情請瀏覽：www.icbcasia.com/icbc/ipotc/  還未開立工銀亞洲賬戶？全新客户透過工銀亞洲手機銀行「e 開戶」成功開立綜合賬戶享三個月港元定期存款3%年利率優惠及HK$200現金回贈*,開立綜合投資賬戶有機會額外享HK$500佣金回贈^。詳情請瀏覽：www.icbcasia.com/icbc/ncjul20t  *您必須成功存入支票或透過快速支付系統「轉數快」FPS 由香港其他銀行（電子錢包除外）同名賬戶向新開立的綜合賬戶轉入至少HK$1以啟動賬戶，方可獲得HK$200現金回贈。  ^您需於推廣期內透過手機銀行成功開立綜合投資賬戶及於指定期間完成買入證券交易或基金認購交易累計達HK$50,000或以上，方可享HK$500佣金回贈。  借定唔借？還得到先好借！投資涉及風險，優惠受條款及細則約束。 「本行」或「工銀亞洲」乃中國工商銀行（亞洲）有限公司之簡稱。  #ICBCAsia #工銀亞洲 #跨境金融首選銀行 #IPO #新股認購 #孖展認購 #工銀智投資 #e開戶",1,0,0
ICBC,2021-09-20,"【中秋佳節有禮】與摯愛親朋共享獎賞！   人月團圓，福滿中秋；良辰美景，共聚天倫！嚟緊中秋佳節，有著數梗係要同親友一齊分享喜悅啦！   依家推薦親友嚟工銀亞洲開戶，可享高達HK$2,500獎賞，人人有份！親友成為工銀亞洲新客戶，更可享高達HK$16,200獎賞，趁佳節共享獎賞啦！   ------------------------------------------------------------------  推薦新客戶獎賞  推廣期：即日至2021年12月31日（包括首尾兩天）   於推廣期內，每成功推薦一位全新客戶開立任何一款工銀亞洲綜合賬戶，新客戶同時於開戶後指定時間內達到指定資產總額，即可獲得每位高達HK$2,500推薦獎賞！推薦越多，獎賞越豐富！   了解更多：https://www.icbcasia.com/ICBC/mgm21h2tc     新客戶開戶獎賞  推廣期：即日至2021年9月30日（包括首尾兩天）   全新理財金賬戶客戶可享高達HK$16,200回贈，包括「理財金賬戶」開戶賞高達HK$3,000信用卡免找數簽賬額、「理財產品優惠」高達HK$12,900基金認購費/交易費回贈及「信用卡迎新優惠」高達HK$300信用卡免找數簽賬額。   上述推廣優惠詳情及「理財產品優惠」包括基金、貨幣掛鈎合約及結構性存款之風險披露，請到以下網頁了解更多：https://m.icbcasia.com/icbc/ad/1998.jhtml   ======================================  投資涉及風險，優惠受條款及細則約束。詳情請參閱有關宣傳單張的條款及細則或向本行各分行查詢。   風險披露：投資涉及風險，投資產品價格有時可能會非常波動，投資產品價格可升可跌，甚至變成毫無價值。買賣投資產品未必一定能夠賺取利潤，反而可能會招致損失。任何投資產品的過去表現並不一定可作為將來表現的指引。   重要聲明：以上風險披露聲明不能披露所有涉及的風險，如欲索取完整之風險披露聲明，可向本行各分行查詢。   提示:  借定唔借，還得到先好借!  數碼KEY睇緊啲，撳LINK前要三思 !  切勿貪心搵快錢，戶口借人洗黑錢!   「工銀亞洲」或「本行」乃中國工商銀行(亞洲)有限公司之簡稱。   #ICBCAsia #工銀亞洲 #現金回贈 #開戶獎賞 #投資賬戶 #推薦有賞 #好友推薦  #中秋節快樂",0,3,0
ICBC,2021-09-14,"【創勝集團(6628)IPO新股認購】  工銀亞洲提供的新股認購與孖展服務，讓你盡享三大優勢：  •  最高可享10倍孖展認購及特低利率 本行證券賬戶持有人(現金或保證金賬戶)均可申請孖展融資認購服務  •  手續費低 認購手續費可低至$0  •  多種渠道認購 可透過「工銀智投資」APP、個人網上銀行、專人接聽買賣熱線，以及親臨分行認購新股  新股認購服務詳情請瀏覽：www.icbcasia.com/icbc/ipotc/  還未開立工銀亞洲賬戶？全新客户透過工銀亞洲手機銀行「e 開戶」成功開立綜合賬戶享三個月港元定期存款3%年利率優惠及HK$200現金回贈*,開立綜合投資賬戶有機會額外享HK$500佣金回贈^。詳情請瀏覽：www.icbcasia.com/icbc/ncjul20t  *您必須成功存入支票或透過快速支付系統「轉數快」FPS 由香港其他銀行（電子錢包除外）同名賬戶向新開立的綜合賬戶轉入至少HK$1以啟動賬戶，方可獲得HK$200現金回贈。  ^您需於推廣期內透過手機銀行成功開立綜合投資賬戶及於指定期間完成買入證券交易或基金認購交易累計達HK$50,000或以上，方可享HK$500佣金回贈。  借定唔借？還得到先好借！投資涉及風險，優惠受條款及細則約束。 「本行」或「工銀亞洲」乃中國工商銀行（亞洲）有限公司之簡稱。  #ICBCAsia #工銀亞洲 #跨境金融首選銀行 #IPO #新股認購 #孖展認購 #工銀智投資 #e開戶",1,4,0
ICBC,2021-09-10,"【尊尚體驗  盡享優越】全新「理財金賬戶」可享高達HK$3,300回贈   暑假結束喇，係時候安排番自己嘅理財計劃令資金得到最好回報! 嚟工銀亞洲開立「理財金賬戶」，可享高達HK$3,300 回贈外，仲有各種星級體驗，包括特享貴賓理財中心、優先櫃位服務、專屬客戶經理等，節省時間之餘，盡顯尊尚氣派！   立即嚟工銀亞洲開戶，盡享優越理財啦！   ===================================  由即日起至2021年9月30日止（包括首尾兩天）（「推廣期」）：   理財金賬戶「開戶賞優惠」  高達HK$3,000信用卡免找數簽賬額   理財金賬戶「信用卡迎新優惠」   高達HK$300 信用卡免找數簽賬額    如欲了解上述推廣優惠及「理財產品優惠詳情，請瀏覽以下網頁：https://m.icbcasia.com/icbc/ad/1998.jhtml   ===================================   提示:借定唔借？還得到先好借！投資涉及風險，優惠受條款及細則約束。詳情請參閱有關宣傳單張的條款及細則或向本行各分行查詢。   風險披露：投資涉及風險，投資產品價格有時可能會非常波動，投資產品價格可升可跌，甚至變成毫無價值。買賣投資產品未必一定能夠賺取利潤，反而可能會招致損失。任何投資產品的過去表現並不一定可作為將來表現的指引。   重要聲明：以上風險披露聲明不能披露所有涉及的風險，如欲索取完整之風險披露聲明，可向本行各分行查詢。   提示:   數碼KEY睇緊啲，撳LINK 前要三思！  切勿貪心搵快錢，戶口借人洗黑錢！   「工銀亞洲」或「本行」乃中國工商銀行(亞洲)有限公司之簡稱。   #ICBCAsia #工銀亞洲 #網上理財 #手機理財 #開戶 #投資 #獎賞 #理財金賬戶",1,4,0
ICBC,2021-08-31,"【攻守兼備 理財有道】「理財產品優惠」高達HK$12,900認購費或交易費回贈   投資好似運動比賽一樣，要知道幾時進攻，幾時防守，識審時度勢，做啱決定，先可以攻守兼備！  推廣期由即日起至2021年9月30日止（包括首尾兩天）：   👉 基金優惠  高達HK$10,000認購費回贈   👉 貨幣掛鈎合約交易費回贈  累積達HK$1,000,000，享高達HK$1,200交易費回贈   👉 結構性存款交易費回贈  累積達HK$1,000,000，享高達HK$500交易費回贈   !! 額外累積交易賞 !!  完成上述3類合資格投資產品交易及交易金額累積達HK$1,200,000或以上(或其等值)，享額外HK$1,200交易費回贈   上述推廣優惠詳情及「理財產品優惠」包括基金、貨幣掛鈎合約及結構性存款之風險披露，詳情請到以下網頁了解更多：https://m.icbcasia.com/icbc/ad/1998.jhtml   提示:借定唔借？還得到先好借！投資涉及風險，優惠受條款及細則約束。詳情請參閱有關宣傳單張的條款及細則或向本行各分行查詢。   風險披露：投資涉及風險，投資產品價格有時可能會非常波動，投資產品價格可升可跌，甚至變成毫無價值。買賣投資產品未必一定能夠賺取利潤，反而可能會招致損失。任何投資產品的過去表現並不一定可作為將來表現的指引。   重要聲明：以上風險披露聲明不能披露所有涉及的風險，如欲索取完整之風險披露聲明，可向本行各分行查詢。   提提你: 數碼KEY睇緊啲，撳LINK 前要三思！ 切勿貪心搵快錢，戶口借人洗黑錢  「工銀亞洲」或「本行」乃中國工商銀行(亞洲)有限公司之簡稱。   #ICBCAsia #工銀亞洲 #網上理財 #手機理財 #投資 #獎賞 #理財攻守道  #基金投資",0,3,0
ICBC,2021-08-30,【「女車神」李慧詩用堅持鑄造獎牌重量】  相信大家都對「女車神」 Sarah Lee Wai Sze - 李慧詩 在單車場上的英姿毫不陌生，擁有「香港最強大腿」稱號的李慧詩總能在衝刺前發揮超強爆炸力奪得一面又一面的獎牌。  勝出比賽全靠Sarah一直保持堅毅不屈的精神，即使曾於里約2016奧運比賽發生意外失利，但Sarah克服障礙，一直堅持用高強度訓練備戰東京2020奧運，最後在東京奧運比賽中擊敗強敵，摘下女子單車爭先賽銅牌。  ————————————————————————— 「恭賀『女車神』第二次奪得奧運獎牌，創下香港體壇傳奇，我們全力支持妳繼續跨步向前，為香港創造更多傳奇！」 —————————————————————————  #ICBCAsia #工銀亞洲 #跨境金融首選銀行 #東京奧運 #踏前步跨越世界路 #Tokyo2020 #全力支持香港運動員 #李慧詩,2,12,0
ICBC,2021-08-29,【香港風之子 – 鄭俊樑】  Michael Cheng Windsurfing - 鄭俊樑 今年代表香港參加東京奧運男子帆板RS:X賽事，經過12輪競爭激烈的賽事後以總成績第13名完成賽事。   由於下屆巴黎奧運滑浪風帆項目將改用IQ Foil帆板，鄭俊樑對自己最後一次使用RS:X器材掛上五環參賽感到遺憾，並曾表示「會休息一段時間，沉澱一下，再重新出發」。  ————————————————————————— 「我們相信，Michael會憑著強大意志迎接新挑戰，於不久將來在世界舞台重新出發，迎風而上，越戰越強。」 —————————————————————————  #ICBCAsia #工銀亞洲 #跨境金融首選銀行 #東京奧運 #踏前步跨越世界路 #Tokyo2020 #全力支持香港運動員 #鄭俊樑,2,14,0
ICBC,2021-08-28,【了不起的「微笑劍后」江旻憓】  擁有「微笑劍后」之稱的 Vivian Kong 江旻憓 在東京2020奧運會代表港隊挑戰世界舞台，晉級女子重劍比賽的八強。雖說最後沒能成功奪得獎牌，江旻憓完成比賽後感謝香港市民的支持及鼓勵，更一度自責比賽表現未如理想而向大眾致歉。   ————————————————————————— 「感謝妳努力不懈的付出，不用說對不起，妳已很了不起」 —————————————————————————  #ICBCAsia #工銀亞洲 #跨境金融首選銀行 #東京奧運 #踏前步跨越世界路 #Tokyo2020 #全力支持香港運動員 #江旻憓,5,33,0
ICBC,2021-08-27,【人生如跳馬 - 石偉雄】  港產「跳馬王子」 石偉雄 Stone Shek 近年埋首苦練兩個難度系數高達6分滿分的「李世光跳」，近一年半冒着受傷的風險苦練不下千次，再次代表香港挑戰奧運，最後以第12名完成資格賽。石仔比賽後表示「盡了全力已是無悔」，更希望可以繼續追求穩定性，充分展現大將之風。   ——————————————— 「人生如跳馬，再難也跨得過」 ———————————————  期望這位跳馬王子療傷過後繼續提升自我水平，展現非凡實力，在世界舞台為港增光。  #ICBCAsia #工銀亞洲 #跨境金融首選銀行 #東京奧運 #踏前步跨越世界路 #Tokyo2020 #全力支持香港運動員 #石偉雄,3,14,0
ICBC,2021-08-26,【劉慕裳 – 奧運歷史從此有妳的名字】  位列空手道女子個人形世界排名第4的 Grace Lau 劉慕裳，代表香港參加東京2020奧運會空手道女子個人形項目並勇奪銅牌，為香港空手道運動立下新里程碑。   今屆東京奧運特別增設空手道項目，而下屆巴黎奧運將不設此比賽項目。Grace為應付可能是唯一一次出戰奧運的機會，賽前一直在美國刻苦備戰，最終摘下一面銅牌。工銀亞洲期望Grace今後在各項國際賽事不斷向前、再創佳績。  —————————————— 「奧運歷史，從此有妳的名字」 ——————————————  #ICBCAsia #工銀亞洲 #跨境金融首選銀行 #東京奧運 #踏前步跨越世界路 #Tokyo2020 #全力支持香港運動員 #劉慕裳,4,39,0
ICBC,2021-08-24,【工銀亞洲榮獲明報頒發「大灣區卓越銀行產品大獎」】   工銀亞洲憑藉專為港人而設嘅灣區物業按揭產品—「灣區置業通」，成功獲得明報《卓越財經大獎》大灣區金融服務組別嘅「卓越銀行產品大獎」，肯定咗工銀亞洲喺大灣區金融產品，以及服務上嘅卓越成就同領導地位。   因應香港市民對大灣區置業需求不斷上升，工銀亞洲推出「灣區置業通」，為港人提供大灣區內九大城市物業嘅一站式按揭服務，申請全程喺香港辦妥，更可以用港幣還款，避開還款時人民幣匯率嘅波動，確切實現「香港借款，香港還款」，全面滿足港人喺大灣區置業嘅融資需要。   提示：  借定唔借?還得到先好借!  數碼KEY睇緊啲，撳LINK前要三思!  切勿貪心搵快錢，戶口借人洗黑錢!   *「工銀亞洲」乃中國工商銀行（亞洲）有限公司之簡稱。   #工銀亞洲 #ICBCAsia #跨境金融首選銀行 #明報 #明報卓越財經大獎 #大灣區置業 #卓越銀行產品大獎 #大灣區金融服務 #大灣區 #一站式按揭服務 #內地買樓,0,9,0
ICBC,2021-08-13,"【先瑞達醫療(6669)IPO新股認購】  工銀亞洲提供的新股認購與孖展服務，讓你盡享三大優勢：  •  最高可享10倍孖展認購及特低利率 本行證券賬戶持有人(現金或保證金賬戶)均可申請孖展融資認購服務  •  手續費低 認購手續費可低至$0  •  多種渠道認購 可透過「工銀智投資」APP、個人網上銀行、專人接聽買賣熱線，以及親臨分行認購新股  新股認購服務詳情請瀏覽：www.icbcasia.com/icbc/ipotc/  還未開立工銀亞洲賬戶？全新客户透過工銀亞洲手機銀行「e 開戶」成功開立綜合賬戶享三個月港元定期存款3%年利率優惠及HK$200現金回贈*,開立綜合投資賬戶有機會額外享HK$500佣金回贈^。詳情請瀏覽：www.icbcasia.com/icbc/ncjul20t  *您必須成功存入支票或透過快速支付系統「轉數快」FPS 由香港其他銀行（電子錢包除外）同名賬戶向新開立的綜合賬戶轉入至少HK$1以啟動賬戶，方可獲得HK$200現金回贈。  ^您需於推廣期內透過手機銀行成功開立綜合投資賬戶及於指定期間完成買入證券交易或基金認購交易累計達HK$50,000或以上，方可享HK$500佣金回贈。  借定唔借？還得到先好借！投資涉及風險，優惠受條款及細則約束。 「本行」或「工銀亞洲」乃中國工商銀行（亞洲）有限公司之簡稱。  #ICBCAsia #工銀亞洲 #跨境金融首選銀行 #IPO #新股認購 #孖展認購 #工銀智投資 #e開戶",0,1,0
ICBC,2021-08-11,"【心瑋醫療(6609)IPO新股認購】  工銀亞洲提供的新股認購與孖展服務，讓你盡享三大優勢：  •  最高可享10倍孖展認購及特低利率 本行證券賬戶持有人(現金或保證金賬戶)均可申請孖展融資認購服務  •  手續費低 認購手續費可低至$0  •  多種渠道認購 可透過「工銀智投資」APP、個人網上銀行、專人接聽買賣熱線，以及親臨分行認購新股  新股認購服務詳情請瀏覽：www.icbcasia.com/icbc/ipotc/  還未開立工銀亞洲賬戶？全新客户透過工銀亞洲手機銀行「e 開戶」成功開立綜合賬戶享三個月港元定期存款3%年利率優惠及HK$200現金回贈*,開立綜合投資賬戶有機會額外享HK$500佣金回贈^。詳情請瀏覽：www.icbcasia.com/icbc/ncjul20t  *您必須成功存入支票或透過快速支付系統「轉數快」FPS 由香港其他銀行（電子錢包除外）同名賬戶向新開立的綜合賬戶轉入至少HK$1以啟動賬戶，方可獲得HK$200現金回贈。  ^您需於推廣期內透過手機銀行成功開立綜合投資賬戶及於指定期間完成買入證券交易或基金認購交易累計達HK$50,000或以上，方可享HK$500佣金回贈。  借定唔借？還得到先好借！投資涉及風險，優惠受條款及細則約束。 「本行」或「工銀亞洲」乃中國工商銀行（亞洲）有限公司之簡稱。  #ICBCAsia #工銀亞洲 #跨境金融首選銀行 #IPO #新股認購 #孖展認購 #工銀智投資 #e開戶",0,1,0
HSBC,2022-10-01,"【PayMe 消費券優惠攻略第二彈：美食篇 😋】  第二輪消費券又到手，準備好食好嘢未？🤤 今期我哋又準備咗一系列美食優惠，享高達港幣53元折扣同低至7折！無論係和牛燒肉🥩定係日式輕食🍣，高質中菜🍲抑或醒神咖啡☕️，通通有賞！😋  即刻碌去左邊睇晒所有優惠啦！無用 PayMe 拎消費券？唔緊要，只要用 PayMe 消費都可以享用優惠！  1️⃣ 燒肉Like香港：惠顧滿港幣120元或以上，即獲港幣20元折扣優惠券 2️⃣ Starbucks Hong Kong ：惠顧滿港幣99元或以上，即減港幣30元；另外用 PayMe 於門市增值 Starbucks 會員帳號滿港幣300元，送中杯裝手調飲品兌換券一張 3️⃣ 魚尚壽司 Uo-Show：惠顧任何金額，即獲港幣 3 元折扣優惠券 4️⃣ 美心中菜：享低至 7 折  無用 PayMe 拎消費券？唔緊要，只要用 PayMe 消費都可以享用優惠！🤩  立即下載PayMe慳多啲！ iOS: https://grp.hsbc/6187y9Or9 Android: : https://grp.hsbc/6188y9Ori  即去 PayMe App「探索」主頁了解更多詳情。  #滙豐 #消費券 #PayMe消費券  優惠須受條款及細則約束。此優惠適用於身處香港人士。 儲值支付工具牌照編號：SVFB002  【PayMe’s voucher guide round 2: Tasty food deals 😋】  Sate your cravings with the second round of your consumption voucher! 🤤 From the finest grilled wagyu 🥩 and light Japanese meal 🍣, to sumptuous Chinese cuisine 🍲 and morning coffee ☕️ – check out our list of delicious food deals worth up to HKD 53 and 30% off! 😋  Swipe left to see a delicious selection of our food deals. Decided not to receive your voucher with PayMe? Don’t worry, these offers are for all PayMe users!  1️⃣  YAKINIKU LIKE: Get an HKD 20 discount voucher when you spend HKD 120 or more 2️⃣ Starbucks Hong Kong: HKD 30 off when you spend HKD 99 or more; or get a free tall drink when you reload your Starbucks membership account with HKD 300 and pay with PayMe in store 3️⃣  Uo-show: Get an HKD 3 discount voucher when you make a purchase of any amount 4️⃣  Maxim's Chinese Cuisine: Get up to 30% off  Decided not to receive your consumption voucher with PayMe? Don’t worry, these offers are for all PayMe users! 🤩  Download PayMe now and save more!  iOS: https://grp.hsbc/6187y9Or9 Android: : https://grp.hsbc/6188y9Ori  Check out the Discover tab in PayMe for full details of each offer.  #HSBC #HSBCHK #PayMeHK #2022PhaseIIConsumptionVoucherScheme #RewardsforAll  This offer is intended for persons in Hong Kong. Terms and conditions apply. SVF license no: SVFB002",2,6,0
HSBC,2022-09-30,"【滙豐 Mobile Banking X 數碼科技 X 音樂🎵】  邊個話Banking 同音樂拉唔上關係？ 既然音樂應該係無界限，滙豐除咗將科技放喺Mobile Banking, 更將佢融入音樂, 呈現喺大家眼前 👀 ! 今次仲特別聯乘兩位有個性嘅本地人氣歌手🎤，到底佢哋同滙豐 Mobile Banking有咩搞作❓即刻留言你嘅答案💬，10月3日同你揭曉🤞🏻   （提提你：HSBC HK App📱用戶有著數呀，快啲Download定啦！ ）  #HSBC #HSBCMobileBanking #全民Logon #HSBCHKApp  【HSBC Mobile Banking x Digital x Music🎵】  Who says banking and music don’t mix well❓ Music has no boundaries, so why should we? This time, HSBC is expanding our technological advancement into music, offering a trail-blazing experience for music fans citywide together with two Cantopop stars 🌟. What will they and HSBC Mobile Banking bring to the table ❓ Leave your guesses in the comments💬, and stay with us for the big reveal on 3 October.  (Friendly reminder: Go download your HSBC HK App to get surprise soon!)",0,26,0
HSBC,2022-09-30,"【免佣免平台費 嬴在投資起跑線💨｜滙豐「調教少年股神」】 開Sem後又要chur group project 💣、又要chur essay💣，仲邊有時間研究點增值財富🤯？咁就要把握時機，賺盡滙豐One優惠，仲可以開展投資之旅💪🏻！  有滙豐Trade25*，告別投資A0就好easy～Trade25專為18-25歲嘅你而設，每月只需25港元，就可以$0佣$0平台費買賣港股、美股同中國A股🥳，仲可以喺Trade25學院升級股票投資知識。而家只要加入Trade25並完成一次股票交易，就可享高達450港元獎賞💰。  加埋滙豐One開戶優惠總共可享高達850港元獎賞，即刻入去了解更多：grp.hsbc/MTFBPE  投資涉及風險。優惠須受條款及細則約束和適用於身處香港人士。*只限18至25歲並持有投資戶口的客戶。受細則約束。$0佣適用於每月累計交易量首250,000港元  #滙豐One #調教少年股神 #理財要爆四 #滙豐Trade25 #後生仔優惠   【Win at the investment starting line with $0 commission and platform fees💨 | Stock pro in the making】 Got no time to figure out how to grow your wealth with rushing through group projects and essays💣 as the semester starts🤯? Seize the chance to catch the HSBC One offers and embark on your investment journey now💪🏻!  Saying goodbye to “Wealth A0” is a piece of cake with HSBC Trade25*~ Catered to youngsters aged 18-25, you can enjoy trading in HK, US and China A stock markets with $0 commission and $0 platform fees for just HKD25 a month🥳 as well as exploring Trade25 Academy and get to know your way around stock trading. What’s more? You can also earn HKD450 cash rewards when you join Trade25 and make a stock transaction💰!  Earning up to HKD850 cash rewards at most together with the HSBC One account opening offer! Click here for more offers: grp.hsbc/BTFBPT  Investment involves risks. Terms and conditions apply. The promotion is intended for persons in Hong Kong.   *You must be aged 18 to 25 and hold an HSBC investment account. Conditions apply. $0 commission trading is applicable to the first HKD250,000 trading volume per month.   #HSBCOne #StockProInTheMaking #MasterYourFinances #HSBCTrade25 #YouthOffers",0,13,1
