序号,关键词,关键词详情链接,热搜数,博主,博文内容,转发的博文内容,发布时间,来自,转发数,评论数,点赞数,页面网址,博文内图片地址,博文内视频地址,采集时间
1,量子纠缠,https://s.weibo.com/weibo?q=%23%E9%87%8F%E5%AD%90%E7%BA%A0%E7%BC%A0%23&t=31&band_rank=1&Refer=top,1592612,落***,#量子纠缠#所以，当年我们学的真的是“五十六个民族，五十六枝花”吧…… ​                ,,,, 1,58,115,https://s.weibo.com/weibo?q=%23%E9%87%8F%E5%AD%90%E7%BA%A0%E7%BC%A0%23&t=31&band_rank=1&Refer=top,,,2022-10-05 22:26
1,量子纠缠,https://s.weibo.com/weibo?q=%23%E9%87%8F%E5%AD%90%E7%BA%A0%E7%BC%A0%23&t=31&band_rank=1&Refer=top,1592612,小***,#量子纠缠#哇 ​                ,,,,,,,https://s.weibo.com/weibo?q=%23%E9%87%8F%E5%AD%90%E7%BA%A0%E7%BC%A0%23&t=31&band_rank=1&Refer=top,,,2022-10-05 22:26
1,量子纠缠,https://s.weibo.com/weibo?q=%23%E9%87%8F%E5%AD%90%E7%BA%A0%E7%BC%A0%23&t=31&band_rank=1&Refer=top,1592612,放***,#量子纠缠#又研究了一晚上这个量子物理，其实物理也是可以很浪漫的！昨天和朋友聊了一晚上物理教学，物理方面的东西，越来越爱物理了，选择物理真的不会后悔。这个宇宙太奇妙 2忻州 ​                ,,,,,,,https://s.weibo.com/weibo?q=%23%E9%87%8F%E5%AD%90%E7%BA%A0%E7%BC%A0%23&t=31&band_rank=1&Refer=top,,,2022-10-05 22:26
1,量子纠缠,https://s.weibo.com/weibo?q=%23%E9%87%8F%E5%AD%90%E7%BA%A0%E7%BC%A0%23&t=31&band_rank=1&Refer=top,1592612,海***,#量子纠缠#物理渣渣看完一圈解说觉得量子纠缠好迷人就是 重新对这个烂透了的世界燃起了新的悸动 ​                ,,,,,,,https://s.weibo.com/weibo?q=%23%E9%87%8F%E5%AD%90%E7%BA%A0%E7%BC%A0%23&t=31&band_rank=1&Refer=top,,,2022-10-05 22:26
1,量子纠缠,https://s.weibo.com/weibo?q=%23%E9%87%8F%E5%AD%90%E7%BA%A0%E7%BC%A0%23&t=31&band_rank=1&Refer=top,1592612,·***,#量子纠缠#看不懂，但觉得很震撼 ​                ,,,,,,,https://s.weibo.com/weibo?q=%23%E9%87%8F%E5%AD%90%E7%BA%A0%E7%BC%A0%23&t=31&band_rank=1&Refer=top,,,2022-10-05 22:26
1,量子纠缠,https://s.weibo.com/weibo?q=%23%E9%87%8F%E5%AD%90%E7%BA%A0%E7%BC%A0%23&t=31&band_rank=1&Refer=top,1592612,巷***,#量子纠缠#我竟然想试图想看懂 ​                ,,,,,,,https://s.weibo.com/weibo?q=%23%E9%87%8F%E5%AD%90%E7%BA%A0%E7%BC%A0%23&t=31&band_rank=1&Refer=top,,,2022-10-05 22:26
1,量子纠缠,https://s.weibo.com/weibo?q=%23%E9%87%8F%E5%AD%90%E7%BA%A0%E7%BC%A0%23&t=31&band_rank=1&Refer=top,1592612,缩***,#量子纠缠#最近想修改过去念头一直拉扯。陷入到几年前的记忆里痛苦 哭泣 新的认知 新的视角重新走了一遍。或者说是未来的我在拯救过去的我。 ​​​                ,,,,,,,https://s.weibo.com/weibo?q=%23%E9%87%8F%E5%AD%90%E7%BA%A0%E7%BC%A0%23&t=31&band_rank=1&Refer=top,,,2022-10-05 22:26
1,量子纠缠,https://s.weibo.com/weibo?q=%23%E9%87%8F%E5%AD%90%E7%BA%A0%E7%BC%A0%23&t=31&band_rank=1&Refer=top,1592612,小***,#量子纠缠#所以我想亚轩一定是因为亚轩也在想我哈哈哈哈哈 ​                ,,,,,,,https://s.weibo.com/weibo?q=%23%E9%87%8F%E5%AD%90%E7%BA%A0%E7%BC%A0%23&t=31&band_rank=1&Refer=top,,,2022-10-05 22:26
2,一只羊能有多狗,https://s.weibo.com/weibo?q=%23%E4%B8%80%E5%8F%AA%E7%BE%8A%E8%83%BD%E6%9C%89%E5%A4%9A%E7%8B%97%23&t=31&band_rank=2&Refer=top,947844,梨***,"
                    一只羊能有多狗#一只羊能有多狗# #爆笑课代表挑战赛# L梨园西池水的微博视频 ​                ",,,, 28752,16754,245203,https://s.weibo.com/weibo?q=%23%E4%B8%80%E5%8F%AA%E7%BE%8A%E8%83%BD%E6%9C%89%E5%A4%9A%E7%8B%97%23&t=31&band_rank=2&Refer=top,,"https://f.video.weibocdn.com/o0/vo09cg5Rlx07ZKleFfew01041207wCaS0E030.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1664983608&ssig=c7YzQ8Qsm7&KID=unistore,video",2022-10-05 22:27
2,一只羊能有多狗,https://s.weibo.com/weibo?q=%23%E4%B8%80%E5%8F%AA%E7%BE%8A%E8%83%BD%E6%9C%89%E5%A4%9A%E7%8B%97%23&t=31&band_rank=2&Refer=top,947844,津***,#一只羊能有多狗#我看了这只羊。从头到尾看了。和我小时候养的羊差不多。我小时候还养了一条柴狗，会跳高，会拉车，会蹲下，会趴下，会起立。让它咬人，非常迅速的就扑了过去，快到人跟前的时候让它趴下，它立即就趴下，让它回来他就回来，它能听懂我的所有的口令。后来村里边儿打狗，这条狗也没有逃脱被打死的命运。我唯一感到欣慰的是，我带着它躲过了一次又一次的打狗运动，最后一次我没有在家，它被民兵打死了。爸爸妈妈怕我心疼的哭闹，打死的狗也送人了。晚上那家人还给我们端来了一小盆狗肉，说端来的狗肉是他们家的狗。听说不是我们家狗的肉。我就高兴的吃了起来，现在回味起来那狗肉真香。要是我们家的狗，我肯定是不吃的。就这样，我也是边吃着狗肉边掉着眼泪。晚上做了一个梦，梦见我的小黄狗又回来了，梦见小黄狗和我一块儿到野地里去捉蚂蚱，捉青蛙，捉刺猬。那时，我和小伙伴那时候经常在田野里烧青蛙，烧蚂蚱吃，那时候的青蛙特别多。我是多么希望青蛙刺猬🦔蚂蚱和我的童年一样再回来。#你好天津# #玄竹说说# 昨天我在山里溜达看到一位老大哥在放羊，这羊与那羊其实是没有什么区别的。区别的在于，养羊的人。生态优先，绿色发展，草木葱葱，牛羊成群 ，多么好的愿景啊！L津门玄竹的微博视频 收起d,,,, 36,82,566,https://s.weibo.com/weibo?q=%23%E4%B8%80%E5%8F%AA%E7%BE%8A%E8%83%BD%E6%9C%89%E5%A4%9A%E7%8B%97%23&t=31&band_rank=2&Refer=top,,"https://f.video.weibocdn.com/o0/xo5uGZgHlx07ZKrNYZBC01041201vSDl0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1664983616&ssig=JnYbX0l0mY&KID=unistore,video",2022-10-05 22:27
2,一只羊能有多狗,https://s.weibo.com/weibo?q=%23%E4%B8%80%E5%8F%AA%E7%BE%8A%E8%83%BD%E6%9C%89%E5%A4%9A%E7%8B%97%23&t=31&band_rank=2&Refer=top,947844,实***,#一只羊能有多狗#   这羊也太帅了！ L沙雕图的微博视频 ​ #萌萌哒# ​                ,,,, 113,61,1303,https://s.weibo.com/weibo?q=%23%E4%B8%80%E5%8F%AA%E7%BE%8A%E8%83%BD%E6%9C%89%E5%A4%9A%E7%8B%97%23&t=31&band_rank=2&Refer=top,,"https://f.video.weibocdn.com/u0/UwGwSxqbgx07SjnKusA801041200616T0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1664983580&ssig=Pp1Z9fdJwB&KID=unistore,video",2022-10-05 22:27
2,一只羊能有多狗,https://s.weibo.com/weibo?q=%23%E4%B8%80%E5%8F%AA%E7%BE%8A%E8%83%BD%E6%9C%89%E5%A4%9A%E7%8B%97%23&t=31&band_rank=2&Refer=top,947844,我***,"
                    我的小猪在发光诶#铲屎官的假期##一只羊能有多狗#萌宠那些事 ​                ",,,, 20,60,627,https://s.weibo.com/weibo?q=%23%E4%B8%80%E5%8F%AA%E7%BE%8A%E8%83%BD%E6%9C%89%E5%A4%9A%E7%8B%97%23&t=31&band_rank=2&Refer=top,"https://wx1.sinaimg.cn/orj360/e141ffbfgy1h6uihlt4abj20tu13uk0q.jpg
https://wx4.sinaimg.cn/orj360/e141ffbfgy1h6uiho6m4uj20tu13uthq.jpg
https://wx4.sinaimg.cn/orj360/e141ffbfgy1h6uiicn6zgj20tu13u4fh.jpg",,2022-10-05 22:27
2,一只羊能有多狗,https://s.weibo.com/weibo?q=%23%E4%B8%80%E5%8F%AA%E7%BE%8A%E8%83%BD%E6%9C%89%E5%A4%9A%E7%8B%97%23&t=31&band_rank=2&Refer=top,947844,摄***,"
                    山地羊群 - Dan Carline#一只羊能有多狗# ​                ",,,, 25,21,96,https://s.weibo.com/weibo?q=%23%E4%B8%80%E5%8F%AA%E7%BE%8A%E8%83%BD%E6%9C%89%E5%A4%9A%E7%8B%97%23&t=31&band_rank=2&Refer=top,"https://wx1.sinaimg.cn/thumb150/651574ebgy1h6unnmk33vj20u011j7d2.jpg
https://wx3.sinaimg.cn/orj360/651574ebgy1h6unnlwjwoj20u011jq8u.jpg
https://wx1.sinaimg.cn/thumb150/651574ebgy1h6unnl1viuj20u011gwmx.jpg
https://wx3.sinaimg.cn/orj360/651574ebgy1h6unnrlkkej20u00u0dp6.jpg
https://wx3.sinaimg.cn/orj360/651574ebgy1h6unnn6s4jj20u011jq6a.jpg
https://wx4.sinaimg.cn/orj360/651574ebgy1h6unnoatm1j20r60r6jxs.jpg
https://wx4.sinaimg.cn/thumb150/651574ebgy1h6unnqxyd9j20sm0smn1z.jpg
https://wx2.sinaimg.cn/thumb150/651574ebgy1h6unnnt1jpj20u011g7b1.jpg
https://wx1.sinaimg.cn/thumb150/651574ebgy1h6unntf3m0j20u00u0dj2.jpg",,2022-10-05 22:27
2,一只羊能有多狗,https://s.weibo.com/weibo?q=%23%E4%B8%80%E5%8F%AA%E7%BE%8A%E8%83%BD%E6%9C%89%E5%A4%9A%E7%8B%97%23&t=31&band_rank=2&Refer=top,947844,潇***,"
                    见过狗里狗气的羊🐏吗？这#一只羊能有多狗#，恐怕它都忘了自己是一只羊了！L知神君的微博视频 ​                ",,,, 506,289,3891,https://s.weibo.com/weibo?q=%23%E4%B8%80%E5%8F%AA%E7%BE%8A%E8%83%BD%E6%9C%89%E5%A4%9A%E7%8B%97%23&t=31&band_rank=2&Refer=top,,"https://f.video.weibocdn.com/QttH2FFJlx07MV5t6hlK010412008w4y0E010.mp4?label=mp4_720p&template=720x1280.24.0&trans_finger=c3f00996be5378650057cf237d7bfffd&ori=0&ps=4ub7gI97adQ&Expires=1664983571&ssig=CyRqrPD3K5&KID=unistore,video",2022-10-05 22:27
2,一只羊能有多狗,https://s.weibo.com/weibo?q=%23%E4%B8%80%E5%8F%AA%E7%BE%8A%E8%83%BD%E6%9C%89%E5%A4%9A%E7%8B%97%23&t=31&band_rank=2&Refer=top,947844,有***,"
                    你说它能有多狗 都开始汪汪汪了#一只羊能有多狗##羊学狗叫# L有棱的微博视频 ​                ",,,, 51,45,490,https://s.weibo.com/weibo?q=%23%E4%B8%80%E5%8F%AA%E7%BE%8A%E8%83%BD%E6%9C%89%E5%A4%9A%E7%8B%97%23&t=31&band_rank=2&Refer=top,,"https://f.video.weibocdn.com/o0/opxA8DIPlx07ZKyBOIE801041200fAd80E010.mp4?label=mp4_720p&template=576x1296.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1664983584&ssig=GslMUK5WEE&KID=unistore,video",2022-10-05 22:27
2,一只羊能有多狗,https://s.weibo.com/weibo?q=%23%E4%B8%80%E5%8F%AA%E7%BE%8A%E8%83%BD%E6%9C%89%E5%A4%9A%E7%8B%97%23&t=31&band_rank=2&Refer=top,947844,勋***,#一只羊能有多狗#救命，有画面了 ​                ,,,,,,,https://s.weibo.com/weibo?q=%23%E4%B8%80%E5%8F%AA%E7%BE%8A%E8%83%BD%E6%9C%89%E5%A4%9A%E7%8B%97%23&t=31&band_rank=2&Refer=top,"https://wx1.sinaimg.cn/thumb150/8ababd17gy1h6urwg83roj20wi1270x7.jpg
https://wx3.sinaimg.cn/thumb150/8ababd17gy1h6urwhmwn7j20wi1hqwsh.jpg
https://wx1.sinaimg.cn/thumb150/8ababd17gy1h6us419vqrj20jw0jf77k.jpg",,2022-10-05 22:27
2,一只羊能有多狗,https://s.weibo.com/weibo?q=%23%E4%B8%80%E5%8F%AA%E7%BE%8A%E8%83%BD%E6%9C%89%E5%A4%9A%E7%8B%97%23&t=31&band_rank=2&Refer=top,947844,凌***,#一只羊能有多狗#秃然让我想起一个人…… ​                ,,,,,2,12,https://s.weibo.com/weibo?q=%23%E4%B8%80%E5%8F%AA%E7%BE%8A%E8%83%BD%E6%9C%89%E5%A4%9A%E7%8B%97%23&t=31&band_rank=2&Refer=top,,,2022-10-05 22:27
2,一只羊能有多狗,https://s.weibo.com/weibo?q=%23%E4%B8%80%E5%8F%AA%E7%BE%8A%E8%83%BD%E6%9C%89%E5%A4%9A%E7%8B%97%23&t=31&band_rank=2&Refer=top,947844,灼***,#一只羊能有多狗#我在床上笑的很辛苦 ​                ,,,,,,,https://s.weibo.com/weibo?q=%23%E4%B8%80%E5%8F%AA%E7%BE%8A%E8%83%BD%E6%9C%89%E5%A4%9A%E7%8B%97%23&t=31&band_rank=2&Refer=top,,,2022-10-05 22:27
2,一只羊能有多狗,https://s.weibo.com/weibo?q=%23%E4%B8%80%E5%8F%AA%E7%BE%8A%E8%83%BD%E6%9C%89%E5%A4%9A%E7%8B%97%23&t=31&band_rank=2&Refer=top,947844,柚***,#一只羊能有多狗#笑不活了 ​                ,,,,,,,https://s.weibo.com/weibo?q=%23%E4%B8%80%E5%8F%AA%E7%BE%8A%E8%83%BD%E6%9C%89%E5%A4%9A%E7%8B%97%23&t=31&band_rank=2&Refer=top,,,2022-10-05 22:27
2,一只羊能有多狗,https://s.weibo.com/weibo?q=%23%E4%B8%80%E5%8F%AA%E7%BE%8A%E8%83%BD%E6%9C%89%E5%A4%9A%E7%8B%97%23&t=31&band_rank=2&Refer=top,947844,_***,#一只羊能有多狗#是在内涵羊了个羊吗？真的挺🐶！ ​                ,,,,,,,https://s.weibo.com/weibo?q=%23%E4%B8%80%E5%8F%AA%E7%BE%8A%E8%83%BD%E6%9C%89%E5%A4%9A%E7%8B%97%23&t=31&band_rank=2&Refer=top,,,2022-10-05 22:27
2,一只羊能有多狗,https://s.weibo.com/weibo?q=%23%E4%B8%80%E5%8F%AA%E7%BE%8A%E8%83%BD%E6%9C%89%E5%A4%9A%E7%8B%97%23&t=31&band_rank=2&Refer=top,947844,小***,#一只羊能有多狗#哈哈哈哈哈哈哈 ​                ,,,,,,,https://s.weibo.com/weibo?q=%23%E4%B8%80%E5%8F%AA%E7%BE%8A%E8%83%BD%E6%9C%89%E5%A4%9A%E7%8B%97%23&t=31&band_rank=2&Refer=top,,,2022-10-05 22:27
